Channel;Company;Category;Subcategory;Year;Month;U;$
B&M;Estée Lauder Brasil;Make Up;Mascaras;2022;Nov;28260;3023575
B&M;Other exclusives;Make Up;Blush;2023;Dec;20144;3125859
B&M;Other exclusives;Make Up;Blush;2023;Nov;17364;2529059
B&M;Other exclusives;Make Up;Foundations;2021;Nov;14385;1981918
Online;Other exclusives;Make Up;Blush;2023;Nov;14042;1868092
Online;Other exclusives;Make Up;Foundations;2021;Nov;10480;1379653
B&M;Other exclusives;Make Up;Lip Gloss;2021;Nov;8978;631928
B&M;Estée Lauder Brasil;Make Up;Mascaras;2021;Nov;13511;1988003
B&M;Other exclusives;Make Up;Blush;2023;Oct;8719;1411408
Online;Other exclusives;Make Up;Lip Gloss;2021;Nov;7376;513015
B&M;Other exclusives;Make Up;Lipstick;2023;Apr;10295;1566546
B&M;Other exclusives;Make Up;Blush;2022;Aug;10770;1616121
B&M;Other exclusives;Make Up;Blush;2023;Jul;9404;1483401
Online;Estée Lauder Brasil;Make Up;Mascaras;2022;Nov;12049;1712131
B&M;Estée Lauder Brasil;Make Up;Setting Spray;2023;Nov;8047;1809822
B&M;Other exclusives;Make Up;Lip Gloss;2023;Dec;12220;1987635
B&M;Estée Lauder Brasil;Make Up;Mascaras;2023;Nov;21231;4150409
Online;Other exclusives;Make Up;Lipstick;2023;Apr;8117;1150988
B&M;Other exclusives;Make Up;Highlighter;2023;Dec;9184;1693919
B&M;Other exclusives;Make Up;Lipstick;2023;Dec;10309;1586796
B&M;Estée Lauder Brasil;Make Up;Lipstick;2022;Dec;66464;8298073
B&M;Estée Lauder Brasil;Make Up;Mascaras;2023;Mar;11095;1971561
B&M;Other exclusives;Make Up;Blush;2023;Jun;7011;1131048
B&M;Other exclusives;Make Up;Blush;2023;Apr;6799;1098169
Online;Other exclusives;Make Up;Blush;2022;Aug;6817;1004717
B&M;Other exclusives;Make Up;Blush;2023;Sep;6216;1010966
B&M;Other exclusives;Make Up;Blush;2022;Dec;6930;1148718
Online;Other exclusives;Make Up;Powders;2023;Nov;8658;1559928
B&M;Other exclusives;Skincare;BC others;2023;Oct;6591;1309241
B&M;Other exclusives;Make Up;Highlighter;2023;Nov;7330;1262060
B&M;Other exclusives;Make Up;Blush;2023;Jan;5851;943692
B&M;Other exclusives;Make Up;Powders;2023;Dec;11939;2367886
B&M;Other exclusives;Make Up;Mixed Make up;2022;Nov;4769;911972
B&M;Other exclusives;Make Up;Lipstick;2023;Nov;9932;1278458
Online;Estée Lauder Brasil;Make Up;Setting Spray;2022;Nov;5838;1102785
B&M;Other exclusives;Make Up;Blush;2023;May;6418;1048549
B&M;Other exclusives;Make Up;Bronzers;2023;Dec;4747;866603
Online;Estée Lauder Brasil;Make Up;Setting Spray;2023;Nov;6252;1163374
B&M;Estée Lauder Brasil;Make Up;Lipstick;2023;Nov;62220;8189308
B&M;Other exclusives;Make Up;Lip Gloss;2023;Jul;6290;876200
B&M;Estée Lauder Brasil;Make Up;Mascaras;2022;Aug;9829;1845715
B&M;Estée Lauder Brasil;Make Up;Make Up Accessories;2022;Dec;6084;754355
B&M;Other exclusives;Make Up;Highlighter;2022;Aug;5022;848383
Online;Other exclusives;Make Up;Lipstick;2021;Nov;5866;487733
B&M;Other exclusives;Make Up;Lip Gloss;2022;Nov;6097;722931
B&M;Other exclusives;Make Up;Lip Gloss;2023;Nov;6837;931120
B&M;Other exclusives;Make Up;Concealer;2021;Nov;5595;637856
B&M;Estée Lauder Brasil;Make Up;Setting Spray;2022;Nov;6791;1020962
B&M;Estée Lauder Brasil;Make Up;Make Up Accessories;2022;May;5278;445534
B&M;Estée Lauder Brasil;Make Up;Lipstick;2023;Sep;33127;4489759
B&M;Estée Lauder Brasil;Make Up;Setting Spray;2021;Nov;4409;749642
B&M;Estée Lauder Brasil;Make Up;Lipstick;2022;May;31827;3519756
